阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
一杯醉酒後果難料	One cup of drunkenness: unimaginable consequence.
一本初衷不忘初心	One original intention: never forget where you come from.
一本經典哲理聖言	One classical book: enlightening teachings.
一本萬利福德因緣	One investment with big profit: your blessings and luck.
一筆成章文思泉湧	One writing attempt succeeded with inspiration.
一筆勾銷　免除恩怨	"Write Off at One Stroke; 
Let go of all resentment."
一筆一畫清楚分明	One simple stroke: drawing a clear line.
一臂之力助人為樂	One helping hand: the pleasure of assisting people.
一兵一卒抗戰到底	One soldier and one private: fight till the last breath.
一撥便轉　豁然醒悟	"Awakening Upon a Pointer; 
Sudden realization."
一波三折　好事多磨	"Many Twists and Turns; 
The road to happiness is strewn with setbacks."
一波三折苦盡甘來	One round of twists and turns: sweet after sweat.
一步起動行走大千	One beginning step: reach out to the entire world.
一不是單二不是雙	One is not an odd number: nor is two an even number.
一步踏出夢想成真	One step closer to a dream come true.
一步一印萬里路程	One footprint: connecting endless miles.
一部字典無言老師	One dictionary: your silent teacher.
一草一木皆具生機	One grass and one tree: all are forms of life.
一場比賽看出風度	One game: shows your sportsmanship.
一場大雪看出貧富	One snowy storm: shows the poverty gap.
一場會戰屍骨如山	One battlefield: rivers of blood.
一場講演十年苦功	One lecture: ten years of hard work.
一場講座影響不同	One lecture: tremendous influence.
一場音樂歌聲難忘	One concert: unforgettable tunes.
一場遊戲一場夢依靠自己	A Game, A Dream: rely on oneself
一場災難淒慘悲傷	One disaster: sad and miserable.
一長一短互相配合	One long and one short: cooperation.
一唱一和默契良好	One chorus: tacit understanding.
一超直入　頓超法門	"Straight to the Heart; 
Instant realization of the Dharma."
一超直入進住佛心	One transcendence: directly into Buddha’s heart.
一塵不染	Untainted
一塵不染清淨莊嚴	One spotless space: pure and majestic.
一塵不染　心地清淨	"Spotlessly Clean; 
A pure mind."
一成不變　故步自封	"Set in One's Ways; 
Resistant to change."
一成不變嫌過執著	One invariable character: a little too stubborn.
一池淨水清涼舒暢	One pond of pure water brings soothing coolness.
一池蓮花芬香撲鼻	One pond of lotuses: permeating fragrance.
一籌莫展無可奈何	One at wit’s end: to have no way out.
一觸即發劍拔弩張	One tense situation: swords unsheathed and bows drawn.
一齣昆曲百戲之母	One kun opera performance: the mother of all operas.
一錘便成　言下即悟	"At the Pound of a Hammer; 
Sudden enlightenment upon hearing."
一春普育大地生機	One spring nurtures all lives on Earth.
一次熬夜三天難補	One midnight oil burned: it takes three days to recover.
一次過堂五觀功德	One meal in the Dining Hall requires the Five Contemplations.
一次謊言信用不再	One lie said: no more credibility.
一次回眸風情萬種	One backward glance: amorous and charming.
一次接觸不願分離	One embrace: unwilling to separate.
一次接送禮儀接待	One time pick-up: etiquette of reception.
一次驚嚇慌亂不安	One shock: agitated and uneasy.
一次經驗終身受用	One experience: lifetime benefits.
一次叩拜終生信仰	One prostration laid: a lifetime’s faith.
一次口角後果不堪	One quarrel: unbearable outcomes.
一次失言覆水難收	One inappropriate comment: spilled water.
一次嫌隙心生隔閡	One feeling of animosity: no more trust.
一次約會終生有緣	One date: a lifetime’s affinity.
一村一莊相互來往	One village and one town: mutual exchange.
一錯再錯無藥可救	One repeating mistake: incurable.
一大步	One Big Step
一代紅顏文姬清照	One beauty of her time: Wenji and Qingzhao.
一代昏君誤國誤民	One fatuous and self-indulgent ruler: failing country and people.
一代名將盡忠報國	One general of his time: loyal and patriotic.
一代女皇而今何在	The Empress of the Dynasty: she is no more
一代時教　佛陀法語	"Teachings by the Buddha in His Lifetime; 
Dharma words from the Buddha."
一簞一食安貧樂道	One scoop of food: find joy in a frugal Way.
一彈指頃　轉瞬之間	"A Snap of the Finger; 
In a split second."
一道河流帶動經濟	One river: an economic passage.
一刀兩斷不再來往	One clean break: severed affinity.
一刀兩斷　劃清界限	"Make a Clean Break; 
Set clear boundaries."
一刀三禮恭敬有方	One cut, three bows: utmost respect.
一得一失　各有一半	"Win Some, Lose Some; 
Each is half and half."
一地黃金路不拾遺	One piece of gold: don’t take what’s not yours.
一地落花世事無常	One ground of fallen flowers: the impermanence of the world.
一滴汗水無限苦功	One drop of sweat: painstaking hard work.
一滴水	A Drop of Water
一滴香水滿室芬芳	One drop of perfume: a whole room fragrant.
一點靈光照耀天地	One flash of inspiration: illuminate the world.
一點靈犀心意相通	One meeting of minds: to be connected by heart.
一點水墨龍鳳呈祥	One drop of water ink: a start of auspicious signs.
一點一滴皆成妙諦	One bit and one drop: all are wondrous teachings.
一段往事記憶猶新	One past event: still fresh in memory.
一對耳朵不聽是非	One pair of ears: listen not to gossip.
一堆垃圾資源回收	One pile of garbage: recycling material.
一多不二	One is Many, Not Two
一多不異　沒有不同	"One is Many, Many is One; 
There is no difference."
一朵玫瑰象徵愛情	One rose: a symbol of love.
一二三四	One, Two, Three, Four
一髮牽動影響全局	One strip of hair: a part that may affect the whole body.
一髮千鈞情況危急	One critical situation: in imminent peril.
一反常態必不正常	One unusual act: other than normal.
一帆風順快樂回家	One smooth sailing: to get home happily.
一番心血不能白費	One painstaking effort: must not go to waste.
一份報紙知悉世界	One newspaper: a window to the world.
一分耕耘一分收穫	One bit of effort: one bit of gain.
一佛出世萬佛護持	One buddha appears: all buddhas will support and protect.
一佛出世　希有難得	"A Buddha Appears in the World; 
Rare and difficult to come by."
一佛淨土十方佛國	One Buddha Pure Land: endless buddha lands.
一夫當關萬夫莫敵	One man of courage: makes a majority.
一夫一妻家庭美滿	One husband and one wife: a happy family.
一副眼鏡看清前方	One pair of glasses: helps you see clearly.
一幅山水美不勝收	One landscape painting: sheer beauty.
一幅油畫蒙納麗莎	One piece of oil painting: Mona Lisa.
一個鼻孔同聲出氣	One nose through which all breathe: to sing the same tune.
一個創意多年苦思	One innovation: years of hard work.
一個故事感人至深	One story: extremely touching.
一個家園快樂天地	One family: a paradise.
一個馬桶博士學位	One toilet seat: a doctoral degree earned.
一個細菌蔓延傳染	One single bacteria: highly contagious.
一個忠臣為國捨命	One loyal minister: sacrifice for his country.
一根浮木創意無限	One driftwood: an art piece.
一根汗毛上天入地	One strand of hair: into heaven and down to earth.
一根香煙氣味難聞	One cigarette: unbearable odor.
一股腦兒全力以赴	One complete effort: give it your best.
一顧傾城再顧傾國	One beauty: she can overrun cities and ruin states.
一鼓作氣一氣呵成	One vigorous effort: accomplish something in one go.
一國明君知人善用	One eminent ruler: knows and employs the right people.
一國一家人之本份	One country, one family: a basis of human beings.
一鍋素肴健康養生	One pot of vegetarian delicacy: healthy and good.
一海之隔文化一統	One ocean apart: connected by one culture.
一行清淚洗去憂傷	One row of tears: wash away sorrows.
一毫端上世界在此	One strand of white hair: a world on its tip.
一黑一白是非分明	One side and the other: telling right from wrong.
一哄而散沒有成果	One dispersal in confusion: fruitless result.
一呼百諾大家擁護	One call answered by hundreds: public support.
一壺好茶談禪論道	One pot of good tea: a chat on Chan and the Way.
一湖景色心曠神怡	One scenic lake: relaxing and soothing.
一花五葉　禪門宗派	"A Five-Petaled Flower; 
The blossoming and development of Chan."
一花五葉五宗七派	One flower, five petals: Chan Schools.
一花一草皆是真如	One flower and one grass.
一揮而就才思敏捷	One swift action: agile thinking.
一即一切	One is All
一即一切一切即一	One is all: all is one.
一即一切　圓融無礙	"One is All; 
Interpenetration without obstruction."
一技在身終生受用	One professional skill: a lifetime use.
一技之長學以致用	One professional skill: apply what has been learnt.
一機在手功用無窮	One gadget in hand: endless possibilities.
一家老小共創家業	One family of young and old: time together.
一家團結幸福平安	One family together for happiness and peace.
一家一國忠孝仁愛	One family, one country: loyalty, duty, benevolence and love.
一家之主承擔重任	One head of the family: responsibilities.
一間旅店接待四方	One hotel: a place of stay to many.
一間溫室奇花異草	One greenhouse: home for exotic plants.
一剪梅飄香雪花相映	A Spray of Plum Blossoms: snow and flowers in meeting
一箭雙雕　一舉兩得	"To Kill Two Birds with One Stone; 
Achieve two aims at once."
一箭之地　距離不遠	"Within an Arrow's Length; 
A short distance."
一見如故說話同心	One intimate first meeting: soulmates.
一角袈裟揚起道風	One hem of the kasaya: a spiritual style.
一腳走出行遍全球	One footstep out: reach into the entire world.
一介不取為人清廉	One single penny untaken: honest and upright.
一介貧僧天地為家	One humble monk: the whole world is his home.
一進一退前後有序	One advance and one retreat: in orderly fashion.
一句成語流傳千古	One single phrase: ageless inspiration.
一句善言天地皆知	One word of kindness: heaven and earth will know.
一句閒話會惹事端	One mindless talk: a cause of trouble.
一句幽默打破僵局	One sense of humor: relief from an awkward situation.
一句讚歎皆大歡喜	One sentence of praise achieves a “win-win” situation.
一舉一動了如指掌	One movement and action: to know things like one’s own palm.
一炬照耀光明燦爛	One torch shines with glorious bright light.
一蹶不振需要省思	One setback: self-reflection is essential.
一開一關進出禮貌	One opening and closing: a manner of entering.
一顆明珠塵勞封鎖	One shiny pearl: long sealed by mundane trouble.
一刻千金	Each Moment is as Precious as Gold
一孔之見眼光狹愛	One open hole: narrowed views.
一口品嚐美味飄香	One mouthful of delicacy: delicious smells.
一口水井供人利用	One water well: providing for people.
一口唾液不能亂吐	One spit of saliva: never in the wrong place.
一口外語必有能量	One second language: endless potentials.
一哭一笑人生經歷	One tear and one laugh: the experiences of life.
一塊良田春種秋收	One fertile field: spring cultivation and autumn harvest.
一塊銀元保住性命	One piece of silver: a lifesaver.
一簣之功　最後努力	"Homestretch; 
The final effort."
一覽無遺盡收眼底	One glance that takes in all: to see everything.
一來一往交流溝通	One interaction: exchange and communication.
一老一少長幼有序	One elderly and one young: respect for seniority.
一雷覺醒大地群迷	One thunder awakens the confused minds of the entire land.
一粒米中大如須彌	One grain of rice: as big as Mt. Sumeru.
一粒鼠屎壞一鍋粥	One mouse dropping: an entire pot of food ruined.
一理通達萬事明白	One principle thoroughly understood: so is everything else.
一粒種子成長無限	One single seed: endless vitality.
一臉茫然不知所以	One confused face: totally clueless.
一了百當　一切妥當	"Finish All in One Go; 
Everything is ready."
一了百了　了結諸事	"Once and For All; 
Finally, all is settled."
一了千明　全盤了解	"One Insight Illuminates a Thousand; 
Comprehend the whole.   "
一流學府教育英才	One best school: education for elites.
一路連接八方通行	One road links to all passages.
一爐清香上供十方	One fragrant incense burner: an offering to the Ten Directions.
一縷輕煙化為虛無	One wisp of smoke: to turn into nothing.
一輪明月心情不同	One round moon: varied sentiments.
一落千丈　急速下降	"Drop Ten Thousand Feet in One Fall; 
Fall rapidly."
一馬奔騰南北東西	One horse gallops into all directions.
一馬當先領導前進	One horse in the lead: leading the pack.
一脈相傳後人發揚	One continuous lineage: honor the tradition.
一毛不拔施捨困難	One stingy mind: giving becomes difficult.
一門深入可探源流	One teaching mastered: straight to the source.
一門深入　心無旁騖	"Mastering a Teaching; 
A mind of singular focus."
一門學派造福人羣	One particular teaching: benefiting people.
一夢成真喜事到來	One dream come true: fortune ensues.
一面城牆見證歷史	One part of a wall: a historical witness.
一面之詞需要兼聽	One-sided statements must be heard by both.
一面之交萍水相逢	One crossing of paths: to meet by chance.
一面之緣　點頭之交	"Crossing Paths Once; 
Nodding terms."
